id	firstName	lastName	schoolClass	email	phone
1	Naemi	Kleinsteuber	8ACIF	Ali.Schmidt@gmail.com	+49-946-8637696
2	Nevio	Wyludda	5BAIF	Annelie.Wolff@gmail.com	(0174) 739765961
3	Isabelle	Prange	5BKIF	Dorian_Baumann@yahoo.com	(0559) 471588325
4	Azra	Ranz	5AAIF	Amina_Stratmann11@yahoo.com	+49-969-4958603
5	Zara	Marner	5BAIF	Michelle.Hoffmann66@yahoo.com	+49-6345-56824303
6	Berkay	Hauke	8ACIF	Jermaine_Hache34@hotmail.com	(0588) 624218803
7	Mia	Feld	8ACIF	Nela8@hotmail.com	+49-261-1545816
8	Leandro	Feller	5CAIF	Marco.Ahrens@yahoo.com	+49-594-9673334
9	Thea	Nowak	5BAIF	Frida11@yahoo.com	(0886) 451757690
10	Josie	Gruning	5BAIF	Milla_Knabe80@gmail.com	+49-2162-14345854
11	Mara	Stürmer	5BAIF	Kyra70@gmail.com	+49-8055-69818667
12	Jayson	Leiter	5BKIF	Esther52@gmail.com	+49-240-4086003
13	Conner	Seelig	5BKIF	Dario45@hotmail.com	+49-3125-08879164
14	Leander	Beutelspacher	5BAIF	Nadine.Restle19@gmail.com	+49-284-2882174
15	Leandra	Hilgendorf	5BAIF	Mattes37@yahoo.com	(08147) 4307603
16	Dina	Balkow	5BAIF	Titus_Lichtenfeld@hotmail.com	(00142) 9973290
17	Muhammed	Ophey	5AAIF	Peter.Plotzitzka@hotmail.com	+49-6934-45772242
18	Caitlin	Schäfer	5BKIF	Carina_Hinrichs@yahoo.com	(0010) 472410618
19	Valentin	Klopsch	8ACIF	Katharina_Walton@yahoo.com	+49-415-4630202
20	Ecrin	Martin	5BKIF	Mara.Peselman@gmail.com	+49-068-3220462
